ANNEE;EDITION RENCONTRES TRANS MUSICALES ;ARTISTES;NOM SPECTACLE OU SOIREE;1ER PROJET ATM;1ERE DATE;1ERE SALLE;1ERE VILLE;2EME PROJET;2EME DATE;2EME SALLE;2EME VILLE;3EME PROJET;3EME DATE;3EME SALLE;3EME VILLE;4EME PROJET;4EME DATE;4EME SALLE;4EME VILLE;5EME PROJET;5EME DATE;5EME SALLE;5EME VILLE;ORIGINES PAYS 1;ORIGINES PAYS 2;ORIGINES PAYS 3;ORIGINES PAYS 4;ORIGINES VILLE 1;ORIGINES VILLE 2;ORIGINES VILLE 3;ORIGINES VILLE 4;ANNEE  DE FORMATION;1ère SORTIE DISCOGRAPHIQUE;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Lolito;;Focus;06/12/2012;L'Etage;Rennes;;;;;;;;;;;;;;;;;France;;;;;;;;2009;2011;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Lonely Walk;High On Democracy;;08/12/2012;Aire Libre;Saint-Jacques-de-la-Lande;;;;;;;;;;;;;;;;;France;;;;Bordeaux;;;;2010;2011;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Lou Doillon;;;07/12/2012;La CitÈ;Rennes;;;;;;;;;;;;;;;;;France;;;;;;;;2011;2012;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Madben;;;06/12/2012;Parc des Expositions - Green Room;Bruz;;;;;;;;;;;;;;;;;France;;;;;;;;2000;2010;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Madeon;;;06/12/2012;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;France;;;;Nantes;;;;2010;2012;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Maya Jane Coles;;;07/12/2012;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;Royaume-Uni;;;;;;;;2006;2008;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Melody's Echo Chamber;;;08/12/2012;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;France;Australie;;;;;;;2011;2012;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Mermonte;;TournÈe des Trans;21/11/2012;Stereolux;Nantes;TournÈe des Trans;22/11/2012;Le Cargö;Caen;;06/12/2012;Parc des Expositions - Hall 3;Bruz;;;;;;;;;France;;;;Rennes;;;;2011;2012;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;MsMr;;;07/12/2012;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;Etats-Unis;;;;New-York;;;;2011;2011;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Netsky;;;06/12/2012;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;Belgique;;;;;;;;2008;2009;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Nick Waterhouse;;;06/12/2012;Parc des Expositions - Hall 3;Bruz;ConfÈrence-Concert du Jeu de l'ouïe;07/12/2012;Les Champs Libres;Rennes;;;;;;;;;;;;;Etats-Unis;;;;;;;;2010;2011;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Nin Petit;;;06/12/2012;Parc des Expositions - Hall 4;Bruz;;09/12/2012;Ubu;Rennes;;;;;;;;;;;;;Royaume-Uni;Espagne;;;;;;;2006;;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Nunna Daul Isunsyi;High On Democracy;;06/12/2012;Aire Libre;Saint-Jacques-de-la-Lande;;;;;;;;;;;;;;;;;France;;;;;;;;2007;2011;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;O Safari;;TournÈe des Trans;16/11/2012;Le Fuzz'Yon;La Roche-sur-Yon;TournÈe des Trans;21/11/2012;Stereolux;Nantes;;22/11/2012;Le Cargö;Caen;;07/12/2012;L'Etage;Rennes;;;;;France;;;;Rennes;;;;2011;2011;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;O'Children;;;07/12/2012;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;2008;2009;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Ondatropica;;;07/12/2012;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;Colombie;Royaume-Uni;;;;;;;2011;2012;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Paul Thomas Saunders;;;07/12/2012;La CitÈ;Rennes;;;;;;;;;;;;;;;;;Royaume-Uni;;;;;;;;2009;2011;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Pegase;;Focus;07/12/2012;L'Etage;Rennes;;;;;;;;;;;;;;;;;France;;;;Nantes;;;;2008;2012;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Petit Fantôme;High On Democracy;;07/12/2012;Aire Libre;Saint-Jacques-de-la-Lande;;;;;;;;;;;;;;;;;France;;;;;;;;2005;2010;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Petite Noir;;;07/12/2012;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;Afrique du Sud;Royaume-Uni;;;Le Cap;;;;2012;2012;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Phoebe Jean & The Airforce;;;07/12/2012;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;Etats-Unis;;;;Baltimore;;;;2007;2012;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Rachid Taha Zoom Project;;;07/12/2012;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;AlgÈrie;France;;;;;;;;1990;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Red Sunrise;;;08/12/2012;Parc des Expositions - Green Room;Bruz;;;;;;;;;;;;;;;;;France;;;;;;;;2005;2011;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Sarah W_Papsun;;;07/12/2012;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;France;;;;;;;;2006;2009;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Shazzula;;;08/12/2012;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;Belgique;;;;Bruxelles;;;;1998;2010;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Sinjin Hawke;;;08/12/2012;Parc des Expositions - Green Room;Bruz;;;;;;;;;;;;;;;;;Canada;Espagne;;;MontrÈal;;;;;2011;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Sinkane;;;08/12/2012;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;Soudan;Etats-Unis;;;;;;;2007;2008;;;;;;
